team_id,team_name,team_small_logo,team_url,league_id,league_name,league_nation,league_logo
84,ACF Fiorentina,https://tmssl.akamaized.net/images/wappen/tiny/430.png?lm=1656660160,/ac-florenz/startseite/verein/430/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
85,AS Roma,https://tmssl.akamaized.net/images/wappen/tiny/12.png?lm=1533302889,/as-rom/startseite/verein/12/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
86,Atalanta BC,https://tmssl.akamaized.net/images/wappen/tiny/800.png?lm=1438547428,/atalanta-bergamo/startseite/verein/800/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
87,Bologna FC 1909,https://tmssl.akamaized.net/images/wappen/tiny/1025.png?lm=1626441324,/fc-bologna/startseite/verein/1025/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
88,Cagliari Calcio,https://tmssl.akamaized.net/images/wappen/tiny/1390.png?lm=1626441409,/cagliari-calcio/startseite/verein/1390/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
89,FC Empoli,https://tmssl.akamaized.net/images/wappen/tiny/749.png?lm=1626441481,/fc-empoli/startseite/verein/749/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
90,Frosinone Calcio,https://tmssl.akamaized.net/images/wappen/tiny/8970.png?lm=1438547543,/frosinone-calcio/startseite/verein/8970/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
91,Genoa CFC,https://tmssl.akamaized.net/images/wappen/tiny/252.png?lm=1655305880,/genua-cfc/startseite/verein/252/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
92,Hellas Verona,https://tmssl.akamaized.net/images/wappen/tiny/276.png?lm=1617228746,/hellas-verona/startseite/verein/276/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
93,Inter Milan,https://tmssl.akamaized.net/images/wappen/tiny/46.png?lm=1618900989,/inter-mailand/startseite/verein/46/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
94,Juventus FC,https://tmssl.akamaized.net/images/wappen/tiny/506.png?lm=1626441487,/juventus-turin/startseite/verein/506/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
95,SS Lazio,https://tmssl.akamaized.net/images/wappen/tiny/398.png?lm=1601537785,/lazio-rom/startseite/verein/398/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
96,SSC Napoli,https://tmssl.akamaized.net/images/wappen/tiny/6195.png?lm=1437135876,/ssc-neapel/startseite/verein/6195/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
97,Torino FC,https://tmssl.akamaized.net/images/wappen/tiny/416.png?lm=1438548174,/fc-turin/startseite/verein/416/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
98,US Lecce,https://tmssl.akamaized.net/images/wappen/tiny/1005.png?lm=1417104356,/us-lecce/startseite/verein/1005/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
99,US Salernitana 1919,https://tmssl.akamaized.net/images/wappen/tiny/380.png?lm=1601390035,/us-salernitana-1919/startseite/verein/380/saison_id/2022,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
